Name	Lineage	D13	G11	Pi04	Pi4B	Pi63	Pi70	SSR11	SSR2	SSR3	SSR4	SSR6	SSR8
PI-11-021	B	110/230/0	156/170/170	166/170/0	213/225/0	279/279/0	189/192/0	356/356/0	173/173/0	258/266/0	285/289/0	242/244/0	260/260/0
PI-11-022	C	228/230/0	156/156/0	166/166/0	213/213/0	279/279/0	189/192/0	341/356/0	173/173/0	266/266/0	289/297/0	242/244/0	260/264/0
PI-13-034	EU-13	136/160/0	154/160/0	166/170/0	205/213/0	273/279/0	192/192/0	341/341/0	173/173/0	266/268/0	285/295/297	240/244/0	260/266/0
PI-13-028	EU-4	136/136/0	158/162/0	166/170/0	217/217/0	270/273/279	192/192/0	356/356/0	173/175/0	258/268/0	289/291/0	242/244/0	260/266/0
PI-13-029	EU-8	118/118/0	162/162/0	166/170/0	205/217/0	273/279/0	192/192/0	331/341/0	173/175/0	268/268/0	289/295/0	242/244/0	260/266/0
PI-13-031	EU-5	136/136/0	156/162/0	166/170/0	205/217/0	279/279/0	192/192/0	341/356/0	175/175/0	268/268/0	293/295/0	244/244/0	266/266/0
PI-13-032	EU-5	136/136/0	156/162/0	166/170/0	205/217/0	279/279/0	192/192/0	356/356/0	175/175/0	268/270/0	293/295/0	244/244/0	266/266/0
PI-13-033	US-8	112/112/0	156/156/0	166/170/0	213/225/0	279/279/0	192/192/0	341/356/0	173/173/0	266/268/0	285/295/0	244/244/0	260/266/0
PI-11-023	D.1	228/230/0	156/156/0	166/170/0	213/225/0	279/279/0	192/195/0	341/356/0	173/173/0	266/266/0	289/295/0	242/244/0	260/260/0
PI-11-024	D.2	228/230/0	156/156/0	166/166/0	213/225/0	279/279/0	192/195/0	341/356/0	173/175/0	266/268/0	289/297/0	242/242/0	260/260/0
PI-12-021	US-11	110/110/0	134/156/0	166/170/0	213/213/0	279/279/0	192/192/0	331/341/0	173/173/0	258/266/268	285/295/309	244/244/0	264/266/0
PI-12-030	US-11	110/110/0	134/156/0	166/170/0	213/213/0	279/279/0	192/192/0	331/341/0	173/173/0	258/266/268	285/295/305	244/244/0	264/266/0
PI-11-010	US-12	144/148/0	134/156/0	166/170/0	213/213/0	279/279/0	192/192/0	331/356/0	173/173/0	258/266/0	285/295/0	244/256/0	264/264/0
PI-11-011	US-14	108/112/0	156/156/0	166/170/0	225/225/0	279/279/0	192/192/0	341/356/0	173/173/0	266/266/0	289/295/0	244/244/0	260/266/0
PI-11-012	US-17	0/0/0	134/156/160	166/170/0	213/213/0	279/279/0	192/192/0	331/356/0	173/173/0	258/266/0	289/289/0	236/244/0	260/266/0
PI-12-034	US-20	108/108/0	134/156/0	166/170/0	213/213/0	279/279/0	192/192/0	356/356/0	173/173/0	258/266/0	285/289/0	244/244/0	266/266/0
PI-12-039	US-20	108/108/0	134/156/0	166/170/0	213/213/0	279/279/0	192/192/0	356/356/0	173/173/0	258/266/0	285/289/0	244/244/0	264/266/0
PI-11-014	US-21	110/110/0	134/134/0	166/170/0	217/217/0	279/279/0	192/192/0	341/341/0	173/173/0	268/268/0	289/297/0	244/244/0	260/260/0
PI-12-040	US-21	110/110/0	134/134/0	168/168/0	217/217/0	279/279/0	192/192/0	341/341/0	173/173/0	268/268/0	289/297/0	244/244/0	260/260/0
PI-12-024	US-22	0/0/0	134/156/0	166/170/0	213/213/0	279/279/0	192/195/0	341/341/0	175/175/0	266/268/0	295/297/0	242/244/0	260/264/0
PI-12-027	US-22	214/214/0	134/156/0	166/170/0	213/213/0	279/279/0	192/195/0	341/341/0	173/175/0	266/268/0	297/297/0	242/244/246	260/264/0
PI-12-022	US-23	136/210/0	142/156/206	170/170/0	213/217/0	270/279/0	192/192/0	331/341/0	173/175/0	266/268/270	289/297/0	244/244/0	260/266/0
PI-12-023	US-23	136/210/0	142/156/206	170/170/0	213/217/0	270/279/0	192/192/0	331/341/0	173/175/0	268/270/0	289/295/297	244/244/0	260/266/0
PI-12-025	US-23	136/210/0	142/156/206	170/170/0	213/213/0	270/279/0	192/192/0	331/341/0	173/173/0	266/268/270	289/295/297	244/244/0	260/266/0
PI-12-019	US-24	108/112/0	156/160/0	166/170/0	217/225/0	279/279/0	192/195/0	341/356/0	173/173/0	268/268/0	285/289/299	244/244/0	260/266/0
PI-12-020	US-24	108/112/0	156/156/0	166/170/0	217/225/0	279/279/0	192/195/0	341/356/0	173/173/0	268/268/0	285/289/299	244/244/0	260/266/0
PI-12-028	US-24	108/112/0	156/156/0	166/170/0	217/225/0	279/279/0	192/195/0	341/356/0	173/173/0	268/268/0	285/289/299	244/244/0	260/266/0
PI-12-032	US-8	108/112/0	156/156/0	166/170/0	213/225/0	279/279/0	192/192/0	341/356/0	173/173/0	266/268/0	285/289/295	244/244/0	260/266/0
PI-12-016	US-8	108/112/0	134/156/0	166/170/0	213/225/0	279/279/0	192/192/0	341/356/0	173/175/0	266/268/0	285/295/297	244/244/0	260/264/0
PI-12-026	US-8	108/112/0	160/160/0	166/170/0	213/225/0	279/279/0	192/192/0	356/356/0	173/173/0	266/268/0	285/289/297	244/244/0	260/266/0
